Book Name,Ratings,User,reviewStars
Perfection,4.16,1817343-christie,liked it
Shadow Kiss,4.37,1817343-christie,it was amazing
Charade,3.98,1817343-christie,really liked it
Crescendo,4.06,1817343-christie,it was ok
The Marriage Bargain,3.81,1817343-christie,did not like it
Sins & Needles,3.96,1817343-christie,liked it
Delirium,3.99,1817343-christie,liked it
Fight with Me,4.25,1817343-christie,really liked it
A Walk to Remember,4.16,1817343-christie,it was amazing
Tangled,4.11,1817343-christie,liked it
Archer's Voice,4.43,1817343-christie,
Lover Mine,4.41,1817343-christie,it was amazing
The Gamble,4.28,1817343-christie,it was amazing
Ignite Me,4.43,1817343-christie,it was amazing
Sweet Evil,4.12,1817343-christie,it was amazing
We'll Always Have Summer,4.15,1817343-christie,it was ok
Hex Hall,3.96,1817343-christie,liked it
Damian,3.66,1817343-christie,did not like it
Beautiful Creatures,3.76,1817343-christie,it was ok
Going Too Far,3.93,1817343-christie,it was amazing
Rock Chick,4.19,1817343-christie,it was amazing
Last Sacrifice,4.41,1817343-christie,it was ok
Knight,3.93,1817343-christie,it was amazing
Into the Hollow,4.44,1817343-christie,did not like it
Clockwork Princess,4.59,1817343-christie,it was amazing
New Moon,3.52,1817343-christie,it was amazing
Law Man,4.32,1817343-christie,it was amazing
Lady Luck,4.43,1817343-christie,it was amazing
City of Ashes,4.2,1817343-christie,really liked it
The Iron Knight,4.22,1817343-christie,it was amazing
Twisted Perfection,4.25,1817343-christie,it was amazing
All In,4.1,1817343-christie,really liked it
This Lullaby,4.03,1817343-christie,really liked it
Along for the Ride,4.07,1817343-christie,it was amazing
Vain,4.24,1817343-christie,it was ok
Leaving Paradise,4.01,1817343-christie,liked it
Devoured,3.93,1817343-christie,it was amazing
The Dex-Files,4.49,1817343-christie,it was amazing
Dead to the World,4.14,1817343-christie,it was amazing
Checkmate,4.15,1817343-christie,
The Proposal,4.04,1817343-christie,really liked it
Eleanor & Park,4.09,1817343-christie,it was amazing
Release Me,4.13,1817343-christie,really liked it
Rock Chick Revenge,4.49,1817343-christie,it was amazing
Sempre,4.18,1817343-christie,did not like it
A Court of Mist and Fury,4.69,1817343-christie,really liked it
Acheron,4.59,1817343-christie,it was amazing
Reaper's Property,4.12,1817343-christie,liked it
Wild Man,4.2,1817343-christie,it was amazing
Glass Houses,3.92,1817343-christie,really liked it
Beautiful Stranger,4.23,1817343-christie,it was amazing
Rock Hard,4.11,1817343-christie,it was amazing
Losing Hope,4.36,1817343-christie,it was amazing
Lying Season,4.48,1817343-christie,it was amazing
Mile High,4.2,1817343-christie,liked it
City of Lost Souls,4.29,1817343-christie,liked it
The Body Finder,3.96,1817343-christie,it was amazing
Undeniable,4.06,1817343-christie,liked it
Daughter of Smoke & Bone,4.03,1817343-christie,it was amazing
Beautifully Damaged,3.99,,it was amazing
Forever My Girl,4.02,,it was amazing
Rock Chick Redemption,4.42,,it was amazing
Nearly Broken,3.9,,it was amazing
The Princess Bride,4.26,,it was ok
Dead Sky Morning,4.38,,it was amazing
Chasing Nikki,3.96,,it was amazing
Forever Mine,3.87,,it was amazing
Rock the Heart,4.01,,really liked it
City of Fallen Angels,4.15,,it was amazing
Starcrossed,4.07,,did not like it
On Demon Wings,4.43,,
Lover Revealed,4.3,,it was amazing
Throne of Glass,4.22,,it was amazing
Ugly Love,4.28,,did not like it
The Proposition,4.04,,it was amazing
Gone with the Wind,4.29,,did not like it
Lover Reborn,4.35,,it was amazing
This Girl,4.16,,really liked it
Persuasion,4.13,,it was amazing
The Perfect Play,3.92,,it was amazing
Legend,4.18,,it was amazing
Barely Breathing,4.32,,it was amazing
Megan Meade's Guide to the McGowan Boys,3.93,,it was amazing
Frostbite,4.29,,it was amazing
Red Fox,4.19,,really liked it
Bad Rep,3.9,,it was amazing
Amy & Roger's Epic Detour,4.02,,really liked it
Breathe,4.37,,it was amazing
Lick,4.13,,it was amazing
Captive in the Dark,3.99,,liked it
Halo,3.66,,really liked it
The Summer I Turned Pretty Trilogy: The Summer I Turned Pretty; It's Not Summer Without You; We'll Always Have Summer,4.44,,really liked it
Rock Chick Renegade,4.46,,liked it
Blood Promise,4.35,,it was amazing
Lover Enshrined,4.12,,it was amazing
Driven,4.3,,it was amazing
Under the Never Sky,4,,really liked it
Lover Unleashed,4.28,,it was amazing
Shadowfever,4.42,,it was amazing
Heist Society,3.91,,it was ok
Inescapable,4.04,,
Heart on a Chain,4.03,,it was ok
Rock Chick Regret,4.54,,did not like it
Origin,4.42,,really liked it
Creed,4.17,,it was amazing
Taming Damian,3.81,,it was ok
Two-Way Street,3.8,,it was ok
Rock Chick Rescue,4.31,,it was ok
Letting Go,4.08,,did not like it
Disastrous,3.96,,it was amazing
Seducing Cinderella,3.93,,it was amazing
Callum & Harper,3.91,,it was amazing
The Statistical Probability of Love at First Sight,3.79,,liked it
The Golden Lily,4.35,,liked it
Tiger's Curse,4.06,,did not like it
Epic Fail,3.74,,it was amazing
Firelight,3.87,,it was ok
The Darkest Minds,4.22,,it was amazing
Jane Eyre,4.11,,it was amazing
Love Left Behind,4,,did not like it
Bully,4.13,,it was amazing
Evermore,3.59,,did not like it
Falling into You,4.04,,did not like it
Rock Chick Reckoning,4.43,,did not like it
Sophie & Carter,3.83,,really liked it
The Redemption of Callie & Kayden,4.1,,really liked it
Across the Universe,3.77,,really liked it
Forbidden,4.05,,it was amazing
The Bronze Horseman,4.32,,really liked it
Cinder,4.15,,it was amazing
"I'd Tell You I Love You, But Then I'd Have to Kill You",3.82,,
Wicked Lovely,3.69,,did not like it
More Than This,4.13,,it was ok
The V Girl,4.01,,did not like it
Tidal,3.96,,did not like it
Once Burned,4.23,,did not like it
Harry Potter and the Half-Blood Prince,4.55,,it was amazing
The Goddess Test,3.82,,really liked it
Shadows,4.16,,really liked it
Crush,3.96,,really liked it
Finale,4.21,,did not like it
Demonglass,4.12,,did not like it
At Peace,4.48,,really liked it
Magic Bites,4.07,,it was amazing
El Diablo,4.19,,did not like it
Double Time,4.13,,really liked it
Unravel Me,4.27,,did not like it
The Unidentified Redhead,4.03,,it was amazing
The Time Traveler's Wife,3.96,,it was ok
Accordance,4.28,,did not like it
Play with Me,4.33,,did not like it
Beauty from Pain,4.24,,it was amazing
Some Girls Bite,4,,did not like it
Always Been Mine,4.03,,really liked it
Wethering the Storm,4.32,,really liked it
Spirit Bound,4.36,,it was amazing
Play,4.31,,liked it
Crush,4.23,,did not like it
Making You Mine,4.2,,really liked it
One Week Girlfriend,3.93,,did not like it
Someone to Love,3.74,,
The One,4.21,,liked it
Father Mine,4.51,,it was amazing
Dom Wars: Round One,3.72,,it was amazing
The Hunger Games,4.33,,it was amazing
Harry Potter and the Order of the Phoenix,4.48,,really liked it
To Kill a Mockingbird,4.27,,did not like it
Pride and Prejudice,4.25,,it was ok
Twilight,3.58,,it was amazing
The Book Thief,4.36,,really liked it
The Chronicles of Narnia,4.25,,really liked it
Animal Farm,3.9,,it was amazing
Gone with the Wind,4.29,,really liked it
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.59,,really liked it
The Fault in Our Stars,4.24,,it was amazing
The Hitchhiker's Guide to the Galaxy,4.21,,really liked it
The Giving Tree,4.37,,it was amazing
Wuthering Heights,3.84,,liked it
The Da Vinci Code,3.81,,it was amazing
Memoirs of a Geisha,4.09,,it was ok
Alice's Adventures in Wonderland & Through the Looking-Glass,4.07,,liked it
The Picture of Dorian Gray,4.07,,it was amazing
Les Misérables,4.15,,it was amazing
Divergent,4.22,,did not like it
Jane Eyre,4.11,,it was amazing
Romeo and Juliet,3.74,,it was amazing
Lord of the Flies,3.66,,did not like it
The Alchemist,3.84,,it was amazing
Crime and Punishment,4.2,,liked it
Ender's Game,4.3,,really liked it
The Perks of Being a Wallflower,4.2,,
City of Bones,4.11,,did not like it
The Help,4.46,,it was amazing
The Great Gatsby,3.9,,did not like it
The Time Traveler's Wife,3.96,,it was amazing
Charlotte's Web,4.16,,really liked it
Anne of Green Gables,4.24,,really liked it
Of Mice and Men,3.85,,really liked it
Dracula,3.98,,it was ok
Brave New World,3.98,,it was amazing
One Hundred Years of Solitude,4.05,,really liked it
The Little Prince,4.29,,did not like it
The Princess Bride,4.26,,really liked it
The Secret Garden,4.12,,it was amazing
The Catcher in the Rye,3.8,,it was amazing
A Thousand Splendid Suns,4.35,,really liked it
A Wrinkle in Time,4.02,,did not like it
Fahrenheit 451,3.98,,it was amazing
A Game of Thrones,4.45,,did not like it
The Lightning Thief,4.24,,liked it
The Adventures of Huckleberry Finn,3.81,,it was amazing
The Lovely Bones,3.79,,really liked it
Where the Wild Things Are,4.22,,it was amazing
Harry Potter and the Sorcerer's Stone,4.46,,it was amazing
Green Eggs and Ham,4.3,,did not like it
Life of Pi,3.89,,really liked it
The Outsiders,4.08,,really liked it
A Tale of Two Cities,3.82,,really liked it
Water for Elephants,4.08,,did not like it
The Odyssey,3.74,,it was amazing
Lolita,3.89,,
Slaughterhouse-Five,4.07,,did not like it
Frankenstein,3.77,,it was amazing
Catch-22,3.98,,it was amazing
The Kite Runner,4.27,,it was amazing
The Pillars of the Earth,4.3,,really liked it
The Stand,4.34,,did not like it
The Giver,4.12,,it was amazing
The Handmaid's Tale,4.09,,liked it
Watership Down,4.06,,it was amazing
The Adventures of Sherlock Holmes,4.3,,really liked it
My Sister's Keeper,4.06,,did not like it
One Flew Over the Cuckoo's Nest,4.19,,it was amazing
The Bell Jar,3.99,,it was amazing
Outlander,4.22,,really liked it
The Girl with the Dragon Tattoo,4.13,,it was amazing
Rebecca,4.22,,it was ok
A Tree Grows in Brooklyn,4.25,,did not like it
Matilda,4.29,,it was amazing
The Color Purple,4.18,,it was amazing
The Fellowship of the Ring,4.35,,it was amazing
Little Women,4.05,,did not like it
The Road,3.96,,it was amazing
Angela's Ashes,4.09,,it was amazing
A Clockwork Orange,3.99,,really liked it
The Brothers Karamazov,4.32,,it was ok
Dune,4.21,,it was amazing
Vampire Academy,4.13,,it was amazing
The Poisonwood Bible,4.04,,it was amazing
Siddhartha,4,,it was ok
Harry Potter and the Deathly Hallows,4.62,,really liked it
Atlas Shrugged,3.68,,
Don Quixote,3.86,,did not like it
The Golden Compass,3.96,,it was amazing
Fahrenheit 451,3.98,,it was amazing
The Notebook,4.07,,liked it
The Old Man and the Sea,3.75,,it was amazing
Great Expectations,3.76,,it was ok
The Complete Stories and Poems,4.37,,it was amazing
A Prayer for Owen Meany,4.23,,really liked it
Winnie-the-Pooh,4.34,,it was amazing
Anna Karenina,4.03,,it was amazing
Interview with the Vampire,3.98,,really liked it
"Moby-Dick or, The Whale",3.48,,did not like it
1984,4.16,,did not like it
The Red Tent,4.16,,it was amazing
The Secret Life of Bees,4.03,,it was ok
Harry Potter and the Prisoner of Azkaban,4.55,,really liked it
Clockwork Angel,4.33,,it was amazing
Middlesex,3.99,,really liked it
Great Expectations,3.76,,really liked it
The Adventures of Tom Sawyer,3.9,,it was amazing
The Stranger,3.97,,really liked it
And Then There Were None,4.25,,it was ok
The Master and Margarita,4.31,,it was ok
Harry Potter and the Goblet of Fire,4.54,,it was amazing
Charlie and the Chocolate Factory,4.12,,it was ok
The Shining,4.2,,it was amazing
On the Road,3.63,,it was amazing
Eragon,3.88,,it was amazing
The Very Hungry Caterpillar,4.29,,liked it
Tuesdays with Morrie,4.08,,liked it
Flowers for Algernon,4.09,,
The Name of the Wind,4.55,,really liked it
The Shadow of the Wind,4.26,,it was amazing
The Curious Incident of the Dog in the Night-Time,3.86,,liked it
Looking for Alaska,4.06,,really liked it
The Unbearable Lightness of Being,4.09,,really liked it
The Metamorphosis,3.8,,did not like it
Harry Potter and the Half-Blood Prince,4.55,,did not like it
The Name of the Rose,4.12,,really liked it
The Scarlet Letter,3.38,,did not like it
"Hush, Hush",3.99,,it was amazing
The Five People You Meet in Heaven,3.91,,it was amazing
The Godfather,4.37,,did not like it
In Cold Blood,4.06,,it was amazing
Anna Karenina,4.03,,it was amazing
Lonesome Dove,4.48,,it was amazing
The Cat in the Hat,4.16,,it was amazing
Fight Club,4.2,,did not like it
Holes,3.94,,it was amazing
Dune,4.21,,really liked it
The Little House Collection,4.33,,really liked it
Watchmen,4.35,,it was ok
American Gods,4.11,,really liked it
The Divine Comedy,4.07,,it was amazing
The Compleat Works of Wllm Shkspr (abridged),4.47,,it was amazing
Peter Pan,4.09,,liked it
Perfume: The Story of a Murderer,4.01,,
"The Lion, the Witch and the Wardrobe",4.2,,did not like it
All Quiet on the Western Front,3.94,,did not like it
The Count of Monte Cristo,4.23,,really liked it
Shadow Kiss,4.37,,did not like it
It,4.22,,really liked it
The Last Olympian,4.5,,it was amazing
A Walk to Remember,4.16,,it was ok
Love in the Time of Cholera,3.9,,it was amazing
Insurgent,4.05,,it was amazing
The Thorn Birds,4.23,,it was amazing
Harry Potter and the Chamber of Secrets,4.4,,did not like it
How the Grinch Stole Christmas!,4.36,,really liked it
Their Eyes Were Watching God,3.89,,did not like it
Atonement,3.89,,it was amazing
The Importance of Being Earnest,4.17,,did not like it
"Eat, Pray, Love",3.53,,did not like it
The Ultimate Hitchhiker's Guide to the Galaxy,4.38,,liked it
Frostbite,4.29,,liked it
The Three Musketeers,4.07,,really liked it
The Wonderful Wizard of Oz,3.98,,it was amazing
Goodnight Moon,4.27,,it was ok
The Lorax,4.35,,did not like it
Blood Promise,4.35,,liked it
Where the Red Fern Grows,4.05,,liked it
The Good Earth,3.98,,liked it
Tess of the D'Urbervilles,3.78,,liked it
A Midsummer Night's Dream,3.94,,it was ok
The Prophet,4.23,,it was ok
The Mists of Avalon,4.12,,liked it
Heart of Darkness,3.42,,really liked it
The Hobbit,4.26,,
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",4.25,,did not like it
The Joy Luck Club,3.91,,it was amazing
The Battle of the Labyrinth,4.39,,did not like it
Jonathan Livingston Seagull,3.81,,it was amazing
Alice in Wonderland,4.03,,liked it
The Phantom Tollbooth,4.21,,it was amazing
The Call of the Wild,3.84,,it was amazing
Clockwork Princess,4.59,,it was ok
The Sea of Monsters,4.24,,it was amazing
"Oh, The Places You'll Go!",4.35,,liked it
Madame Bovary,3.66,,liked it
The Girl Who Played with Fire,4.23,,it was amazing
The Titan's Curse,4.34,,it was amazing
Bridge to Terabithia,3.98,,did not like it
The Hunger Games Trilogy Boxset,4.48,,really liked it
Fifty Shades of Grey,3.66,,really liked it
Oliver Twist,3.85,,it was amazing
The Clan of the Cave Bear,4.03,,really liked it
The Canterbury Tales,3.49,,it was amazing
Ulysses,3.74,,it was amazing
The Maze Runner,4.03,,it was amazing
Treasure Island,3.83,,it was amazing
The Neverending Story,4.18,,really liked it
The World According to Garp,4.08,,it was ok
A Farewell to Arms,3.79,,it was amazing
David Copperfield,3.97,,it was ok
Wicked: The Life and Times of the Wicked Witch of the West,3.52,,really liked it
Thirteen Reasons Why,3.98,,really liked it
A Storm of Swords,4.54,,it was amazing
Shōgun,4.38,,it was amazing
The Other Boleyn Girl,4.05,,
Extremely Loud and Incredibly Close,3.97,,did not like it
Schindler's List,4.34,,it was amazing
Last Sacrifice,4.41,,really liked it
Fallen,3.73,,it was amazing
His Dark Materials,4.26,,did not like it
A Little Princess,4.19,,it was amazing
A Confederacy of Dunces,3.89,,it was amazing
The Sun Also Rises,3.82,,really liked it
The Secret Magdalene,4.21,,liked it
Spirit Bound,4.36,,it was amazing
Jurassic Park,3.99,,it was amazing
The Boy in the Striped Pajamas,4.12,,it was ok
The Velveteen Rabbit,4.29,,it was amazing
Beloved,3.8,,liked it
The Silmarillion,3.9,,it was amazing
Murder on the Orient Express,4.16,,it was amazing
Cat's Cradle,4.17,,it was ok
The Crucible,3.56,,liked it
Girl with a Pearl Earring,3.86,,it was amazing
Shiver,3.77,,did not like it
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,4.41,,really liked it
She's Come Undone,3.86,,really liked it
A Light in the Attic,4.34,,liked it
The Wind in the Willows,3.98,,it was ok
The Lost Hero,4.35,,really liked it
The Iliad/The Odyssey,4.03,,really liked it
The Trial,3.99,,really liked it
The Night Circus,4.04,,it was amazing
The Screwtape Letters,4.21,,really liked it
The God of Small Things,3.93,,it was amazing
Clockwork Prince,4.45,,
Marley and Me: Life and Love With the World's Worst Dog,4.13,,it was amazing
The Silence of the Lambs,4.17,,really liked it
City of Fallen Angels,4.15,,did not like it
Uglies,3.86,,it was amazing
The Selection,4.14,,it was amazing
The Phantom of the Opera,3.97,,it was amazing
Marked,3.79,,it was amazing
Ella Enchanted,3.97,,it was amazing
The Wind-Up Bird Chronicle,4.17,,it was amazing
Man's Search for Meaning,4.35,,really liked it
The Sound and the Fury,3.86,,it was amazing
The Shack,3.75,,it was amazing
Fear and Loathing in Las Vegas,4.08,,it was amazing
Blindness,4.1,,liked it
Midnight Sun,4.02,,it was amazing
Roots: The Saga of an American Family,4.43,,it was amazing
A Clash of Kings,4.41,,really liked it
The Complete Calvin and Hobbes,4.82,,it was amazing
Throne of Glass,4.22,,it was amazing
Stranger in a Strange Land,3.91,,it was amazing
Island of the Blue Dolphins,3.81,,it was amazing
Catching Fire,4.29,,really liked it
For Whom the Bell Tolls,3.96,,it was ok
The Green Mile,4.43,,it was amazing
The Guernsey Literary and Potato Peel Pie Society,4.14,,it was amazing
The House of the Spirits,4.21,,it was amazing
Delirium,3.99,,liked it
The Girl Who Kicked the Hornet's Nest,4.21,,it was amazing
I Know This Much Is True,4.18,,it was amazing
White Oleander,3.95,,
The Vampire Lestat,4.06,,did not like it
Beautiful Disaster,4.13,,it was amazing
Othello,3.88,,did not like it
Flow Down Like Silver: Hypatia of Alexandria,4.44,,it was ok
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",4.26,,did not like it
Misery,4.14,,it was amazing
Paper Towns,3.85,,it was amazing
The Once and Future King,4.08,,it was ok
Into the Wild,3.96,,really liked it
King Lear,3.9,,did not like it
The Idiot,4.19,,it was amazing
Speak,4.01,,it was amazing
Cinder,4.15,,it was amazing
Neverwhere,4.17,,did not like it
Howl's Moving Castle,4.3,,really liked it
The Historian,3.78,,it was amazing
Invisible Man,3.85,,it was amazing
Uncle Tom's Cabin,3.85,,really liked it
James and the Giant Peach,4,,it was amazing
All Creatures Great and Small,4.32,,did not like it
Inkheart,3.87,,it was ok
Leaves of Grass,4.12,,liked it
The Thirteenth Tale,3.95,,it was amazing
Graceling,4.09,,it was amazing
Candide,3.76,,it was amazing
Paradise Lost,3.8,,really liked it
The Cider House Rules,4.11,,did not like it
The Things They Carried,4.12,,liked it
Different Seasons,4.35,,it was amazing
Where the Red Fern Grows,4.05,,it was amazing
The Complete Works,4.49,,
"The Complete Sherlock Holmes, Vol 1",4.5,,did not like it
Harry Potter and the Sorcerer's Stone,4.46,,did not like it
The Lightning Thief,4.24,,did not like it
Twilight,3.58,,did not like it
The Giver,4.12,,it was amazing
The Hunger Games,4.33,,it was amazing
City of Bones,4.11,,did not like it
The Fault in Our Stars,4.24,,did not like it
Divergent,4.22,,really liked it
To Kill a Mockingbird,4.27,,did not like it
The Book Thief,4.36,,it was amazing
The Perks of Being a Wallflower,4.2,,did not like it
The Hobbit,4.26,,did not like it
Holes,3.94,,it was amazing
The Outsiders,4.08,,really liked it
The Host,3.84,,did not like it
The Golden Compass,3.96,,did not like it
Looking for Alaska,4.06,,it was amazing
Vampire Academy,4.13,,it was amazing
Eragon,3.88,,did not like it
Uglies,3.86,,liked it
A Wrinkle in Time,4.02,,it was amazing
Clockwork Angel,4.33,,did not like it
Ella Enchanted,3.97,,it was amazing
Bridge to Terabithia,3.98,,it was amazing
Speak,4.01,,did not like it
Pride and Prejudice,4.25,,did not like it
Charlotte's Web,4.16,,it was ok
Little Women,4.05,,did not like it
Graceling,4.09,,
The Little Prince,4.29,,it was ok
The Maze Runner,4.03,,liked it
"Hush, Hush",3.99,,it was amazing
Number the Stars,4.13,,it was ok
Inkheart,3.87,,really liked it
Thirteen Reasons Why,3.98,,liked it
The Lost Hero,4.35,,liked it
The Bad Beginning,3.92,,really liked it
Charlie and the Chocolate Factory,4.12,,it was amazing
Ender's Game,4.3,,it was amazing
The Secret Garden,4.12,,really liked it
Artemis Fowl,3.83,,really liked it
Anne of Green Gables,4.24,,liked it
Stargirl,3.75,,really liked it
Island of the Blue Dolphins,3.81,,it was amazing
Tuck Everlasting,3.86,,liked it
