Category,Book Name,Author Name,Author Link,Ratings,Awards,OtherLinks,Description,Score
romance,The Hunger Games,Suzanne Collins,https://www.goodreads.com/author/show/153394.Suzanne_Collins,4.33,Rebecca Caudill Young Readers' Book Award (2011),"Young Adult 27,703 users Fiction 14,909 users Science Fiction Dystopia 13,832 users Fantasy 11,630 users Science Fiction 9,391 users","Winning will make you famous. Losing means certain death.The nation of Panem, formed from a post-apocalyptic North America, is a country that consists of a wealthy Capitol region surrounded by 12 poorer districts. Early in its history, a rebellion led by a 13th district against the Capitol resulted in its destruction and the creation of an annual televised event known as the Hunger Games. In punishment, and as a reminder of the power and grace of the Capitol, each district must yield one boy and one girl between the ages of 12 and 18 through a lottery system to participate in the games. The 'tributes' are chosen during the annual Reaping and are forced to fight to the death, leaving only one survivor to claim victory.When 16-year-old Katniss's young sister, Prim, is selected as District 12's female representative, Katniss volunteers to take her place. She and her male counterpart Peeta, are pitted against bigger, stronger representatives, some of whom have trained for this their whole lives. , she sees it as a death sentence. But Katniss has been close to death before. For her, survival is second nature.","score: 235,7092,443 people voted"
romance,Fallen Too Far,Abbi Glines,https://www.goodreads.com/author/show/4872191.Abbi_Glines,4.2,Goodreads Choice Award Nominee for Romance (2013),"Romance 1,947 users New Adult 1,932 users Contemporary 757 users Romance Contemporary Romance 477 users Young Adult 353 users","To want what you’re not supposed to have…She is only nineteen.She is his new stepfather’s daughter.She is still naïve and innocent due to spending the last three years taking care of her sick mother.But for twenty-four year old Rush Finlay, she is the only thing that has ever been off limits. His famous father’s guilt money, his mother’s desperation to win his love, and his charm are the three reasons he has never been told no.Blaire Wynn left her small farmhouse in Alabama, after her mother passed away, to move in with her father and his new wife in their sprawling beach house along the Florida gulf coast. She isn’t prepared for the lifestyle change and she knows she’ll never fit into this world. Then there is her sexy stepbrother who her father leaves her with for the summer while he runs off to Paris with his wife. Rush is as spoiled as he is gorgeous. He is also getting under her skin. She knows he is anything but good for her and that he’ll never be faithful to anyone. He is jaded and has secrets Blaire knows she may never uncover but even knowing all of that…Blaire just may have fallen too far.","score: 224,0962,355 people voted"
romance,The Edge of Never,J.A. Redmerski,https://www.goodreads.com/author/show/5437976.J_A_Redmerski,4.25,N/A,"Romance 1,969 users New Adult 1,874 users Contemporary 824 users Romance Contemporary Romance 457 users Young Adult 296 users","Twenty-year-old Camryn Bennett had always been one to think out-of-the-box, who knew she wanted something more in life than following the same repetitive patterns and growing old with the same repetitive life story. And she thought that her life was going in the right direction until everything fell apart.Determined not to dwell on the negative and push forward, Camryn is set to move in with her best friend and plans to start a new job. But after an unexpected night at the hottest club in downtown North Carolina, she makes the ultimate decision to leave the only life she’s ever known, far behind.With a purse, a cell phone and a small bag with a few necessities, Camryn, with absolutely no direction or purpose boards a Greyhound bus alone and sets out to find herself. What she finds is a guy named Andrew Parrish, someone not so very different from her and who harbors his own dark secrets. But Camryn swore never to let down her walls again. And she vowed never to fall in love.But with Andrew, Camryn finds herself doing a lot of things she never thought she’d do. He shows her what it’s really like to live out-of-the-box and to give in to her deepest, darkest desires. On their sporadic road-trip he becomes the center of her exciting and daring new life, pulling love and lust and emotion out of her in ways she never imagined possible. But will Andrew’s dark secret push them inseparably together, or tear them completely apart?
Due to sexual content and language, this book is recommended for 17+ – Adult Contemporary Women’s – New Adult Fiction
","score: 223,0362,370 people voted"
romance,Obsidian,Jennifer L. Armentrout,https://www.goodreads.com/author/show/4476934.Jennifer_L_Armentrout,4.21,N/A,"Young Adult 3,088 users Fantasy Paranormal 2,444 users Romance 2,098 users Fantasy 1,935 users Science Fiction Aliens 1,602 users Science Fiction 1,068 users","Starting over sucks.When we moved to West Virginia right before my senior year, I’d pretty much resigned myself to thick accents, dodgy internet access, and a whole lot of boring… until I spotted my hot neighbor, with his looming height and eerie green eyes. Things were looking up.And then he opened his mouth.Daemon is infuriating. Arrogant. Stab-worthy. We do not get along. At all. But when a stranger attacks me and Daemon literally freezes time with a wave of his hand, well, something… unexpected happens. The hot alien living next door marks me.You heard me. Alien. Turns out Daemon and his sister have a galaxy of enemies wanting to steal their abilities, and Daemon’s touch has me lit up like the Vegas Strip. The only way I’m getting out of this alive is by sticking close to Daemon until my alien mojo fades. If I don’t kill him first, that is.","score: 221,2222,316 people voted"
romance,Walking Disaster,Jamie McGuire,https://www.goodreads.com/author/show/4464118.Jamie_McGuire,4.22,Goodreads Choice Award Nominee for Romance (2013),"Romance 2,066 users New Adult 1,539 users Contemporary 628 users Romance Contemporary Romance 408 users Young Adult 392 users","Can you love someone too much?Travis Maddox learned two things from his mother before she died: Love hard. Fight harder.In Walking Disaster, the life of Travis is full of fast women, underground gambling, and violence. But just when he thinks he is invincible, Abby Abernathy brings him to his knees.Every story has two sides. In Beautiful Disaster, Abby had her say. Now it’s time to see the story through Travis’s eyes.","score: 220,5112,357 people voted"
romance,City of Bones,Cassandra Clare,https://www.goodreads.com/author/show/150038.Cassandra_Clare,4.11,Lincoln Award (2010),"Fantasy 15,403 users Young Adult 12,253 users Fantasy Paranormal 4,462 users Romance 3,481 users","When fifteen-year-old Clary Fray heads out to the Pandemonium Club in New York City, she hardly expects to witness a murder― much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons. Then the body disappears into thin air. It's hard to call the police when the murderers are invisible to everyone else and when there is nothing―not even a smear of blood―to show that a boy has died. Or was he a boy?This is Clary's first meeting with the Shadowhunters, warriors dedicated to ridding the earth of demons. It's also her first encounter with Jace, a Shadowhunter who looks a little like an angel and acts a lot like a jerk. Within twenty-four hours Clary is pulled into Jace's world with a vengeance when her mother disappears and Clary herself is attacked by a demon. But why would demons be interested in ordinary mundanes like Clary and her mother? And how did Clary suddenly get the Sight? The Shadowhunters would like to know...","score: 206,3292,172 people voted"
romance,On Dublin Street,Samantha Young,https://www.goodreads.com/author/show/4167378.Samantha_Young,4.23,N/A,"New Adult 1,139 users Contemporary 1,014 users Romance Contemporary Romance 979 users Romance 599 users Adult 479 users Adult Fiction Erotica 310 users","Jocelyn Butler has been hiding from her past for years. But all her secrets are about to be laid bare ...Four years ago, Jocelyn left her tragic past behind in the States and started over in Scotland, burying her grief, ignoring her demons, and forging ahead without attachments. Her solitary life is working well - until she moves into a new apartment on Dublin Street, where she meets a man who shakes her carefully guarded world to its core.Braden Carmichael is used to getting what he wants, and he's determined to get Jocelyn into his bed. Knowing how skittish she is about entering a relationship, Braden proposes an arrangement that will satisfy their intense attraction without any strings attached.But after an intrigued Jocelyn accepts, she realizes that Braden won't be satisfied with just mind-blowing passion. The stubborn Scotsman is intent on truly knowing her . . . down to the very soul.","score: 198,0102,099 people voted"
romance,Clockwork Angel,Cassandra Clare,https://www.goodreads.com/author/show/150038.Cassandra_Clare,4.33,Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2010),"Fantasy 8,464 users Young Adult 6,671 users Fantasy Paranormal 2,530 users Science Fiction Steampunk 2,406 users Romance 2,252 users","In a time when Shadowhunters are barely winning the fight against the forces of darkness, one battle will change the course of history forever. Welcome to the Infernal Devices trilogy, a stunning and dangerous prequel to the New York Times bestselling Mortal Instruments series.The year is 1878. Tessa Gray descends into London’s dark supernatural underworld in search of her missing brother. She soon discovers that her only allies are the demon-slaying Shadowhunters—including Will and Jem, the mysterious boys she is attracted to. Soon they find themselves up against the Pandemonium Club, a secret organization of vampires, demons, warlocks, and humans. Equipped with a magical army of unstoppable clockwork creatures, the Club is out to rule the British Empire, and only Tessa and her allies can stop them...","score: 191,0742,001 people voted"
romance,Pride and Prejudice,Virginia Woolf,https://www.goodreads.com/author/show/6765.Virginia_Woolf,4.25,N/A,"Classics 40,520 users Fiction 12,208 users Romance 9,534 users Historical Historical Fiction 3,135 users Literature 2,304 users Historical 1,917 users Novels 1,168 users Romance Historical Romance 1,104 users Classics Classic Literature 1,029 users Adult 978 users","Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England.","score: 171,2621,793 people voted"
romance,Anna and the French Kiss,Stephanie Perkins,https://www.goodreads.com/author/show/3095893.Stephanie_Perkins,4.04,"Goodreads Choice Award Nominee for Goodreads Author, Young Adult Fiction  (2010)","Young Adult 5,785 users Romance 4,750 users Contemporary 3,566 users Womens Fiction Chick Lit 1,094 users Fiction 801 users Realistic Fiction 551 users Romance Contemporary Romance 369 users Young Adult Young Adult Contemporary 347 users Young Adult Teen 309 users Young Adult Young Adult Romance 259 users","Anna is looking forward to her senior year in Atlanta, where she has a great job, a loyal best friend, and a crush on the verge of becoming more. Which is why she is less than thrilled about being shipped off to boarding school in Paris--until she meets Étienne St. Clair. Smart, charming, beautiful, Étienne has it all...including a serious girlfriend. But in the City of Light, wishes have a way of coming true. Will a year of romantic near-misses end with their long-awaited French kiss?","score: 167,8911,752 people voted"
romance,"Hush, Hush",Becca Fitzpatrick,https://www.goodreads.com/author/show/2876763.Becca_Fitzpatrick,3.99,Goodreads Choice Award Nominee for Young Adult Series (2009),"Young Adult 5,027 users Fantasy 3,812 users Fantasy Paranormal 2,699 users Paranormal Angels 2,681 users Romance 2,674 users","A SACRED OATHA FALLEN ANGELA FORBIDDEN LOVERomance was not part of Nora Grey's plan. She's never been particularly attracted to the boys at her school, no matter how hard her best friend, Vee, pushes them at her. Not until Patch comes along. With his easy smile and eyes that seem to see inside her, Patch draws Nora to him against her better judgment.But after a series of terrifying encounters, Nora's not sure whom to trust. Patch seems to be everywhere she is and seems to know more about her than her closest friends. She can't decide whether she should fall into his arms or run and hide. And when she tries to seek some answers, she finds herself near a truth that is way more unsettling than anything Patch makes her feel.For she is right in the middle of an ancient battle between the immortal and those that have fallen - and, when it comes to choosing sides, the wrong choice will cost Nora her life.","score: 162,8221,730 people voted"
romance,Vampire Academy,Richelle Mead,https://www.goodreads.com/author/show/137902.Richelle_Mead,4.13,N/A,"Young Adult 6,271 users Paranormal Vampires 4,819 users Fantasy 4,545 users Fantasy Paranormal 3,414 users Romance 2,368 users","Only a true best friend can protect you from your immortal enemies . . . Lissa Dragomir is a Moroi princess: a mortal vampire with a rare gift for harnessing the earth's magic. She must be protected at all times from Strigoi; the fiercest vampires - the ones who never die. The powerful blend of human and vampire blood that flows through Rose Hathaway, Lissa's best friend, makes her a dhampir. Rose is dedicated to a dangerous life of protecting Lissa from the Strigoi, who are hell-bent on making Lissa one of them.After two years of freedom, Rose and Lissa are caught and dragged back to St. Vladimir's Academy, a school for vampire royalty and their guardians-to-be, hidden in the deep forests of Montana. But inside the iron gates, life is even more fraught with danger . . . and the Strigoi are always close by.Rose and Lissa must navigate their dangerous world, confront the temptations of forbidden love, and never once let their guard down, lest the evil undead make Lissa one of them forever . . .","score: 158,5871,671 people voted"
romance,Wallbanger,Alice Clayton,https://www.goodreads.com/author/show/3379564.Alice_Clayton,4.08,N/A,"Contemporary 1,140 users Romance Contemporary Romance 1,004 users Humor Funny 790 users New Adult 714 users Womens Fiction Chick Lit 637 users Adult 623 users Humor 476 users","The first night after Caroline moves into her fantastic new San Francisco apartment, she realizes she's gaining an intimate knowledge of her new neighbor's nocturnal adventures. Thanks to paper-thin walls and the guy's athletic prowess, she can hear not just his bed banging against the wall but the ecstatic response of what seems (as loud night after loud night goes by) like an endless parade of women. And since Caroline is currently on a self-imposed dating hiatus, and her neighbor is clearly lethally attractive to women, she finds her fantasies keep her awake even longer than the noise. So when the wallbanging threatens to literally bounce her out of bed, Caroline, clad in sexual frustration and a pink baby-doll nightie, confronts Simon Parker, her heard-but-never-seen neighbor. The tension between them is as thick as the walls are thin, and the results just as mixed. Suddenly, Caroline is finding she may have discovered a whole new definition of neighborly...In a delicious mix of silly and steamy, Alice Clayton dishes out a hot and hilarious tale of exasperation at first sight...","score: 157,2771,713 people voted"
romance,Fifty Shades Freed,E.L. James,https://www.goodreads.com/author/show/4725841.E_L_James,3.87,Goodreads Choice Award for Romance (2012),"Adult Fiction Erotica 1,774 users Fiction 1,486 users Erotica Bdsm 1,196 users Adult 1,047 users Contemporary 787 users","When unworldly student Anastasia Steele first encountered the driven and dazzling young entrepreneur Christian Grey it sparked a sensual affair that changed both of their lives irrevocably. Shocked, intrigued, and, ultimately, repelled by Christian’s singular erotic tastes, Ana demands a deeper commitment. Determined to keep her, Christian agrees.Now, Ana and Christian have it all—love, passion, intimacy, wealth, and a world of possibilities for their future. But Ana knows that loving her Fifty Shades will not be easy, and that being together will pose challenges that neither of them would anticipate. Ana must somehow learn to share Christian’s opulent lifestyle without sacrificing her own identity. And Christian must overcome his compulsion to control as he wrestles with the demons of a tormented past.Just when it seems that their strength together will eclipse any obstacle, misfortune, malice, and fate conspire to make Ana’s deepest fears turn to reality.This book is intended for mature audiences.","score: 148,1371,621 people voted"
romance,Gabriel's Inferno,Sylvain Reynard,https://www.goodreads.com/author/show/4562483.Sylvain_Reynard,4.01,Goodreads Choice Award Nominee for Best Romance (2011),"Romance 1,974 users Romance Contemporary Romance 489 users Adult Fiction Erotica 451 users Contemporary 435 users Adult 308 users New Adult 288 users Did Not Finish 266 users","Enigmatic and sexy, Professor Gabriel Emerson is a well respected Dante specialist by day, but by night he devotes himself to an uninhibited life of pleasure. He uses his notorious good looks and sophisticated charm to gratify his every whim, but is secretly tortured by his dark past and consumed by the profound belief that he is beyond all hope of redemption.When the sweet and innocent Julia Mitchell enrolls as his graduate student, his attraction and mysterious connection to her not only jeopardizes his career, but sends him on a journey in which his past and his present collide.An intriguing and sinful exploration of seduction, forbidden love and redemption, ""Gabriel's Inferno"" is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible...forgiveness and love.","score: 139,9271,490 people voted"
romance,Reflected in You,Sylvia Day,https://www.goodreads.com/author/show/19823.Sylvia_Day,4.33,N/A,"Romance 2,541 users Adult Fiction Erotica 1,055 users Contemporary 530 users Romance Contemporary Romance 515 users Adult 501 users","Gideon Cross. As beautiful and flawless on the outside as he was damaged and tormented on the inside. He was a bright, scorching flame that singed me with the darkest of pleasures. I couldn't stay away. I didn't want to. He was my addiction... my every desire... mine.My past was as violent as his, and I was just as broken. We’d never work. It was too hard, too painful... except when it was perfect. Those moments when the driving hunger and desperate love were the most exquisite insanity. We were bound by our need. And our passion would take us beyond our limits to the sweetest, sharpest edge of obsession...","score: 137,6721,493 people voted"
romance,Fifty Shades Darker,E.L. James,https://www.goodreads.com/author/show/4725841.E_L_James,3.86,N/A,"Romance 5,579 users Adult Fiction Erotica 2,205 users Fiction 1,762 users Erotica Bdsm 1,265 users Adult 1,174 users Contemporary 850 users Womens Fiction Chick Lit 686 users Romance Contemporary Romance 652 users Romance Erotic Romance 543 users New Adult 332 users","Daunted by the singular sexual tastes and dark secrets of the beautiful, tormented young entrepreneur Christian Grey, Anastasia Steele has broken off their relationship to start a new career with a Seattle publishing house. But desire for Christian still dominates her every waking thought, and when he proposes a new arrangement, Anastasia cannot resist. They rekindle their searing sensual affair, and Anastasia learns more about the harrowing past of her damaged, driven, and demanding Fifty Shades. While Christian wrestles with his inner demons, Anastasia must confront her anger and envy of the women who came before her and make the most important decision of her life. Erotic, sparkling and suspenseful, Fifty Shades Darker is the irresistibly addictive second part of the Fifty Shades trilogy.","score: 137,3301,512 people voted"
romance,Perfect Chemistry,Simone Elkeles,https://www.goodreads.com/author/show/274533.Simone_Elkeles,4.07,Lincoln Award Nominee (2011),"Romance 2,906 users Young Adult 2,767 users Contemporary 1,187 users Romance Contemporary Romance 341 users","A fresh, urban twist on the classic tale of star-crossed lovers.When Brittany Ellis walks into chemistry class on the first day of senior year, she has no clue that her carefully created 'perfect' life is about to unravel before her eyes. She's forced to be lab partners with Alex Fuentes, a gang member from the other side of town, and he is about to threaten everything she's worked so hard for: her flawless reputation, her relationship with her boyfriend, and the secret that her home life is anything but perfect. Alex is a bad boy and he knows it. So when he makes a bet with his friends to lure Brittany into his life, he thinks nothing of it. But soon Alex realizes Brittany is a real person with real problems, and suddenly the bet he made in arrogance turns into something much more.In a passionate story about looking beneath the surface, Simone Elkeles breaks through the stereotypes and barriers that threaten to keep Brittany and Alex apart.","score: 128,8051,376 people voted"
romance,The Coincidence of Callie & Kayden,Jessica Sorensen,https://www.goodreads.com/author/show/4601855.Jessica_Sorensen,4.2,Goodreads Choice Award Nominee for Romance (2013),"New Adult 1,546 users Romance 1,463 users Contemporary 573 users Young Adult 415 users Sociology Abuse 282 users","From the bestselling author of The Secret of Ella and Micha comes a mesmerizing novel of fate, friendship, and the healing power of love . . . THE COINCIDENCE OF CALLIE & KAYDENFor Kayden, suffering in silence was the only way to survive. If he was lucky, he could keep his head down, do as he was told, and make it through the day. But one night it seemed like his luck -- and his life -- might finally end... until an angel named Callie appeared just in time to rescue him.Callie has never believed in luck. Not since her twelfth birthday when everything was taken from her. After the worst was over, she locked up her feelings and vowed never to tell anyone what happened. Now, six years later, she continues to struggle with the painful secret that threatens to consume her.When fate lands Kayden and Callie at the same college, Kayden is determined to get to know the beautiful girl who changed his destiny. Quiet and reserved, Callie still fears letting anyone else into her world. But Kayden is certain that Callie has come back into his life for a reason. And the more he tries to be a part of her life, the more he realizes that, this time, it's Callie who needs to be saved...","score: 128,3251,395 people voted"
romance,The Twilight Saga,Matt Walters,https://www.goodreads.com/author/show/2567014.Matt_Walters,3.89,N/A,Fantasy 549 users Young Adult 459 users Romance 351 users Paranormal Vampires 271 users Fantasy Paranormal 209 users Fiction 176 users,"Stephenie Meyer holds you spellbound with her incredible ""New York Times"" bestselling Twilight Saga. Experience the entire series on audio with narrator Ilyana Kadushin and prepare to be amazed by the more than 60 hours of listening pleasure. ""Twilight"" (11 CDs): When Isabella Swan moves to the gloomy town of Forks, Washington, and meets the mysterious, alluring Edward Cullen, her life takes a thrilling and terrifying turn. With his porcelain skin, golden eyes, mesmerizing voice, and supernatural gifts, Edward is both irresistible and impenetrable. Up until now, he has managed to keep his true identity hidden, but Bella is determined to uncover his dark secret. ""New Moon"" (12 CDs): For Bella Swan, there is one thing more important than life itself: Edward Cullen. But being in love with a vampire is even more dangerous than Bella ever could have imagined. Edward has already rescued Bella from the clutches of one evil vampire, but now, as their daring relationship threatens all that is near and dear to them, they realize their troubles may be just beginning. ""Eclipse"" (13 CDs): As Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge, Bella once again finds herself surrounded by danger. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob--knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. ""Breaking Dawn "" (14 CDs): ""Twilight"" tempted the imagination. ""New Moon"" made readers thirsty for more. ""Eclipse ""turned the saga into a worldwide phenomenon. And now, the story that everyone has been waiting for.... ""Breaking Dawn, "" the final installment in the #1 bestselling Twilight Saga, will take your breath away.","score: 123,4501,307 people voted"
